CourseId	Name	Description	Rating	SportId	TeacherId	Date	Time	Capacity
1	Elevate Your Tennis Game: Learn from Champion Andre Agassi	"Boost your tennis game in no time with this course from eight-time Grand Slam champion Andre Agassi. For the first time, one of the game’s all-time greats is sharing 20 years of tour experience to help you advance your skills and give back to the game that gave him so much.
These bite-sized lessons focus on only what’s most important to help you improve and see immediate results on the court. Andre not only covers specific techniques and strategies for all essential strokes, but also how to develop the mental tenacity and focus that sets a champion apart.
The course will help you:
Learn the fundamentals and improve every shot in your game including forehand, backhand, serve, volley, overhead, tweener, drop shot, and more
Understand best practices for racket grips, body positioning, and when specific shots are most effectively played
Identify the secrets of Andre’s signature moves: the two-handed backhand and return serve
Learn how to listen to the sounds of the game to read the ball and anticipate how it will move"	4.7	41	1998	Wednesday	10:00AM-11:00AM	22
2	The Perfect Golf Swing - Timeless Golf Instruction	"The Perfect Golf Swing is the internationally acclaimed course taught by golf pro Jim McLellan.
Jim has been featured by the New York Times, NBC, CBS, Entertainment Tonight, Today's Golfer, and ABC. He is also prominently featured in John Richardson's bestselling book, ""Dream On""
Jim has helped tens of thousands of golfers improve their Golf Swing Basics when all other instruction has failed.
Volume I is ten lessons that cover the basics of how to transform your swing into a perfect Golfswing. All that is required is a golf club and your willingness to do what Jim says. In fact, in the beginning you don't go to a golf course, you don't even hit a golf ball. Whether you're just starting or have been playing for years, this is about starting out right or about un-learning all of the bad habits and bad instruction that other magazines, books and videos have put in your head about Golf Swing Basics.
Volume II is about taking your game to the next level. Increasing power and distance, fixing your slice, chipping, putting, sand shots, etc. 
All of the instruction is delivered via video, and Jim will be available to answer questions you post to Udemy.
Here is an overview of what you will learn in Volume I and II:
The Perfect Golf Swing: Volume I
1. Good Golf: The 2 key points that contribute to great golf.2. Back Swing: What is a good back swing and are you making the biggest back swing mistake?3. The Hat: The most important element of the golf swing.4. Goob: A story you will never forget.5. Follow Through: The easiest part of the golf swing and the least understood.6. Tie it all Together: 1 golf swing, 1 motion.7. Grip: How to find the grip you were born with.8. Stance: Finding your perfect stance.9. Hot Tips: The 3 things that prevent you from becoming as good as you can be.10. Practice: Practice makes permanent. Perfect practice makes perfect."	4.8	18	1998	Thursday	9:00AM-10:30AM	33
3	Fully Accredited Professional Sports Psychology Diploma	Understanding The Psychology Of Sport With Powerful Techniques To Overcome Blocks & Achieve Your Goals In Sport!	4.4		2314	Friday	1:00PM-2:30PM	23
4	Introduction to Football (Soccer) Tactics	Gain a deeper understanding of the world of football with this guide to the basic principles of football tactics.	4.2	16	2314	Wednesday	9:00AM-10:30AM	24
5	Sport Psychology: Develop the Champion Mindset	The Vital Sports Psychology Mental Skills needed for any successful performance as used by the world's greatest athletes	4.4		2433	Sunday	9:00AM-10:30AM	23
6	The Ultimate Soccer Guide | Play Like A Pro Soccer Player	"Would you like to earn a college scholarship, sign a professional contract, or become the best player on your team?
Yes please!
This program will improve all of your skills, increase your speed, boost your soccer IQ, transform your confidence, or turn you into the type of player who dominates games.
Regardless of your age, skill level, or experience if you want to become a better player this program is guaranteed to take your game to the next level. This proven formula has helped 10,000s of players in different countries around the world. Now it's going to help you.
This course will improve every area of your game:
Learn to beat opponents with the most effective soccer moves.
Score more goals with improved shooting power and accuracy.
Understand how to defend properly and make more tackles.
Improve your speed, stamina, and strength.
Understand the game and the proper way to play."	4.9	16	2222	Monday		21
7	"Total Immersion Swimming: Swim Better, Easier, Faster!"	"The Ultra-Efficient Freestyle Complete Self-Coaching Course will teach you to swim a dramatically more efficient freestyle—and transform you into your own most effective swim instructor and coach.
You will learn . . . the proven advantages of:
Saving energy over trying to build endurance.
Letting conditioning 'happen' while you improve the skills that matter.
Achieving comfort, body control, and weightlessness before any other skill
Making your body 'slippery' (reducing drag) over increasing power.
Learning technique holistically—so all body parts work in seamless harmony.
Swimming a short distance with effortless ease and crisp form before swimming farther.
The most effective and fastest-acting skill drills.
Practicing over working out."	4.6	38	1533		1:00PM-2:30PM	24
8	Table tennis for beginners	"In this popular course, I’ll show you how to play table tennis. You will learn how to hold the bat, how to stand and how to move.
You will learn the correct technique for the basic table tennis strokes - a forehand drive, a backhand drive, a forehand push and a backhand push. Plus, I'll show you 21 training drills to help you improve your skills.
You will also learn how to serve. I'll show you how to do a backspin serve, a sidespin serve and a topspin serve.
Each video lesson includes links to external resources, where you can read more about each topic.
To become a great table tennis player, you need to master the basic skills first. This course will help you do that.
Over 2,000 students have already signed up, with a review average of 4.6 out of 5. This is a really good course for learning table tennis. Go for it!"	4.6	40	1634	Monday	10:00AM-11:00AM	32
9	Skate-Pro: Inline skating course for adult beginners.	"The how to inline skate course for beginners wanting to feel safe learning to skate, stop, turn and go faster."	4.9	46	1532	Wednesday	9:00AM-10:30AM	32
10	Introductory Sport Psychology	"Developing sport psychology skills that you can use when you train, compete or coach"	4.3		1533	Thursday	9:20AM-10:45AM	16
11	Trick Tutor- Beginner Skateboarding Lesson Online	"The best-selling course for beginners. Learn how to skateboard, stay safe, and learn a few tricks."	4.7		1833	Sunday	5:30PM-7:00PM	15
12	"Treat lower back in swimming, swim 1k freestyle"	"Learn to swim freestyle WEST using the healthiest swimming technique, train with hydrotherapy expert , Ori Sela"	4.5	38	1765	Monday	1:00PM-2:30PM	14
13	Sports Management: The Essentials Course	A Comprehensive Overview at How the Sports Industry Operates and the Challenges Facing the Modern Sports Industry Today	4.4		1678	Thursday	5:30PM-7:00PM	18
14	Skate-Pro: The complete Intermediate inline skating course.	"The how to inline skate course for adults wanting to learn crossovers, stops, backwards and speed with confidence."	4.5	46	1888	Wednesday	1:00PM-2:30PM	13
15	How to Analyze Football (Soccer) - Basics	Learn how to analyze Football (Soccer) like a football analyst in order to improve your performance	4.4	16	1999	Monday	5:30PM-7:00PM	11
16	Sports Massage: The Technique Masterclass (2 CEUs)	Learn the most effective sports massage techniques for the entire body.	4.7		1765	Monday	9:20AM-10:45AM	18
17	Light Saber Duel by LudoSport - Master Form 1 (Sub. Eng)	"Evolve your Saber Skills by practical exercises, theorical lessons, slow motion, common mistakes and details!"	4.8		1766	Tuesday	10:00AM-11:00AM	19
18	Sport Psychology for Athletes	Master the fundamentals of sport psychology to improve performance and gain a mental edge	4.6		1986	Thursday	9:00AM-10:30AM	22
19	Learn to Sail: The Basics	This course will cover the basics to prepare you to sail with a friend or start taking on-the-water lessons.	4.4	35	1833	Tuesday	1:00PM-2:30PM	13
20	Become a Professional Football (Soccer) Coach	The Complete Guide on how to become a Professional Football (Soccer) Coach	4.4	16	2031	Sunday	9:00AM-10:30AM	14
21	Learn the freestyle turn	"Learn the freestyle and backstroke flip turn, understand the Secret of WEST swimming technique"	4.9	38	1892	Wednesday	5:30PM-7:00PM	19
22	Applied Sport Psychology and Leadership in Sport	Enhance your knowledge of sport psychology from an athlete or coach perspective with this in depth applied course.	4.6		1777	Friday	5:30PM-7:00PM	15
23	Badminton Mastery: How to unleash your badminton potential	"With the right coaching, you can excel at this game!"	4.4	4	2433	Monday	5:30PM-7:00PM	14
