ReservationId,UserId,CourtId,BeginTime,EndTime
0,761,10,2021-10-11 18:00:00,2021-10-11 19:00:00
1,545,1,2021-10-15 17:00:00,2021-10-15 18:00:00
2,833,8,2021-08-30 11:00:00,2021-08-30 12:00:00
3,1321,13,2021-09-24 09:00:00,2021-09-24 10:00:00
4,1371,16,2021-08-29 11:00:00,2021-08-29 12:00:00
5,1284,15,2021-09-19 17:00:00,2021-09-19 18:00:00
6,1451,12,2021-10-20 19:00:00,2021-10-20 20:00:00
7,183,7,2021-10-01 18:00:00,2021-10-01 19:00:00
8,361,27,2021-09-15 18:00:00,2021-09-15 19:00:00
9,485,24,2021-11-11 13:00:00,2021-11-11 14:00:00
10,544,6,2021-08-26 14:00:00,2021-08-26 15:00:00
11,204,2,2021-10-16 09:00:00,2021-10-16 10:00:00
12,793,24,2021-10-15 17:00:00,2021-10-15 18:00:00
13,1274,10,2021-10-07 21:00:00,2021-10-07 22:00:00
14,566,17,2021-10-27 12:00:00,2021-10-27 13:00:00
15,606,5,2021-11-02 19:00:00,2021-11-02 20:00:00
16,754,1,2021-10-18 20:00:00,2021-10-18 21:00:00
17,145,18,2021-11-05 16:00:00,2021-11-05 17:00:00
18,620,10,2021-10-10 09:00:00,2021-10-10 10:00:00
19,408,11,2021-08-27 21:00:00,2021-08-27 22:00:00
20,500,19,2021-10-03 16:00:00,2021-10-03 17:00:00
21,1300,11,2021-10-09 13:00:00,2021-10-09 14:00:00
22,1438,10,2021-10-26 14:00:00,2021-10-26 15:00:00
23,994,17,2021-10-18 17:00:00,2021-10-18 18:00:00
24,1101,13,2021-11-05 11:00:00,2021-11-05 12:00:00
25,1003,27,2021-09-21 12:00:00,2021-09-21 13:00:00
26,1476,9,2021-11-03 21:00:00,2021-11-03 22:00:00
27,1154,11,2021-10-26 16:00:00,2021-10-26 17:00:00
28,160,13,2021-10-12 21:00:00,2021-10-12 22:00:00
29,205,2,2021-09-30 17:00:00,2021-09-30 18:00:00
30,1230,19,2021-08-31 13:00:00,2021-08-31 14:00:00
31,1195,18,2021-11-08 21:00:00,2021-11-08 22:00:00
32,1066,13,2021-10-24 19:00:00,2021-10-24 20:00:00
33,18,0,2021-10-23 15:00:00,2021-10-23 16:00:00
34,713,19,2021-09-09 18:00:00,2021-09-09 19:00:00
35,1147,13,2021-09-03 16:00:00,2021-09-03 17:00:00
36,62,10,2021-10-24 12:00:00,2021-10-24 13:00:00
37,1498,14,2021-09-14 15:00:00,2021-09-14 16:00:00
38,502,2,2021-09-06 21:00:00,2021-09-06 22:00:00
39,1181,20,2021-10-19 10:00:00,2021-10-19 11:00:00
40,903,3,2021-08-27 15:00:00,2021-08-27 16:00:00
41,256,9,2021-10-10 16:00:00,2021-10-10 17:00:00
42,1139,9,2021-10-06 20:00:00,2021-10-06 21:00:00
43,343,30,2021-08-31 20:00:00,2021-08-31 21:00:00
44,1008,18,2021-10-10 12:00:00,2021-10-10 13:00:00
45,1211,1,2021-10-19 11:00:00,2021-10-19 12:00:00
