SportId;SportName;SportIntroduction;SportImage
1;American Football;American (Flag) Football is an adapted non-kitted version of the 11v11 game you will have seen in the NFL. Flag football is the safe, award-winning version that schools all around the world take part in, designed to suit all abilities.;https://media.yourschoolgames.com/images/american-football-rgb.width-450.png
2;Archery;Archery is for everyone, regardless of age, gender or disability. Whether practised indoors or out, competitively or socially, archery is great fun and promotes an active lifestyle: improving strength, mental focus and coordination to name a few.;https://media.yourschoolgames.com/images/Archery_bHQsCXu.width-450.png
3;Athletics;Athletics is a fully inclusive, all year-round sport, which covers a collection of running, jumping, throwing, athletics events. Competition formats including traditional Track & Field Athletics, Cross Country, and exciting short form competition formats.;https://media.yourschoolgames.com/images/Athletics_pQaDUzm.width-450.png
4;Badminton;Badminton is the nations number one racket sport with over a million people playing each month. We have many popular age-specific programmes that welcome you onto court, regardless of age or ability guaranteeing an experience you can trust and enjoy.;https://media.yourschoolgames.com/images/Badminton_RGB.width-450.png
5;Basketball;A non-contact sport played on a rectangular court. Opposing teams of five players attempt to score points by shooting a ball into a hoop at the end of the court they are attacking. The sport has been dominated by the United States since its inception.;https://media.yourschoolgames.com/images/Basketball_wIP5OBj.width-450.png
6;Boccia;A game of precision, skill, and tactics - get your ball as close to a white target ball as possible. Boccia’s played by people of all ages and disabilities. Internationally it is played by athletes with severe physical disabilities.;https://media.yourschoolgames.com/images/Boccia_uEDYNqb.width-450.png
7;Bowls;A game played between individuals or teams within a defined playing area. The individuals or teams try to outscore each other by rolling bowls towards the jack.;https://media.yourschoolgames.com/images/bowls-cmyk_FV.width-450.png
8;Boxing;A combat sport fought by two combatants wearing gloves. The amateur version of the sport, as seen in the Olympic Games, also involves athletes wearing protective headgear. The concept of ‘prize-fighting’ originated in Great Britain and the United States.;https://media.yourschoolgames.com/images/boxing-cmyk.width-450.png
9;Canoeing;A water based sport which involves paddling with a single-bladed paddle. A canoe bears some resemblance to a kayak, but there are several differences between the two sports, with kayaking involving two blades and a different technique.;https://media.yourschoolgames.com/images/Canoeing_NSEGIOs.width-450.png
10;Cricket;Cricket is a team sport which provides children and young people with a variety of skills needed to develop a lifelong love of sport and physical activity. It is fun, inclusive, and the sport provides a wealth of opportunities to take part.;https://media.yourschoolgames.com/images/Cricket_rFc81ty.width-450.png
11;Cycling;Sport cycling involves the racing of bicycles – either on a track or on outdoor terrain, with different variations suiting different styles of racer. Some racers will also compete over a multitude of different formats – known as an omnium.;https://media.yourschoolgames.com/images/Cycling_aEYbRFE.width-450.png
12;Dance;Dance can be enjoyed as a physical activity and performing art. Street Dance, in which UDOIT specialise in, originated on the streets of America in the late 70s. Street Dance is an accessible form of dance that is growing extremely popular;https://media.yourschoolgames.com/images/dance-rgb.width-450.png
13;Dodgeball;A team game. Players must dodge or catch balls thrown by the opposition whilst attempting to strike their opponents in the same way. The game has rapidly grown in popularity over the last decade, particularly amongst schools.;https://media.yourschoolgames.com/images/dodgeball-rgb.width-450.png
14;Equestrian;Denotes horse riding, including as a competitive sport, as seen in various formats across the Olympic and Paralympic Games – such as dressage, jumping and eventing. Equestrian is also part of the modern pentathlon, first contested in 1912.;https://media.yourschoolgames.com/images/Equestrian_WImHlsf.width-450.png
15;Fencing;A combat sport in which two competitors fight using rapier-style swords, using either the foil, the epee, or the sabre. Based on traditional skills of swordsmanship, the modern sport was born at the end of the 19th century in Western Europe.;https://media.yourschoolgames.com/images/Fencing_Qfk8Wbs.width-450.png
16;Football;The national sport is an invasion game, traditionally played between two teams of eleven players, but can also be played in other formats such as 5v5, 7v7 and 9v9. The game was born in England but has since become the most played sport in the world.;https://media.yourschoolgames.com/images/Football_aF84fop.width-450.png
17;Goalball;Goalball is a unique Paralympic team sport for visually impaired players. However, in the UK, anyone can play as everyone wears eyeshades. Instead of using sight, you listen for the audible ball and feel for the tactile court. It's great fun!;https://media.yourschoolgames.com/images/Goalball_gfcZG8s.width-450.png
18;Golf;A club and ball sport in which players use clubs of varying sizes and strengths to hit a ball into a series of holes on a course in as few shots as possible. A traditional golf course is played out over 18 holes, either as individuals or in a team.;https://media.yourschoolgames.com/images/Golf_p5XaE6Y.width-450.png
19;Gymnastics;Gymnastics gives every participant of any level the opportunity to amaze themselves and others. Through working together, learning skills and developing fundamental movements, gymnastics is a demonstrated foundation sport for all.;https://media.yourschoolgames.com/images/Gymnastics_bhT0B1m.width-450.png
20;Handball;A team sport in which two teams of seven players pass a ball using their hands with the aim of throwing it into the goal of the other team. It came to prominence in Scandinavia and Germany in the late-19th century before expanding across Europe.;https://media.yourschoolgames.com/images/Handball_AvGjB7P.width-450.png
21;Hockey;Hockey is one of the most gender equitable team sports and is fun, fast, safe and exciting. The game is played eleven a-side with a goalkeeper but there are also many age appropriate small sided versions of the game.;https://media.yourschoolgames.com/images/Hockey_manSru6.width-450.png
22;Judo;An Olympic combat sport which originates from Japan and is now practiced in over 200 hundred countries throughout the world. Competitors use their whole body to both attack and defend with each combatant aiming to throw or takedown their opponent.;https://media.yourschoolgames.com/images/Judo_3T0dhOW.width-450.png
23;Lacrosse;Lacrosse is a fast, fun and exciting team invasion sport, perfect for developing physical skills related to coordination and agility. It is a unique sport, requiring the players to use their stick to scoop, throw, catch and carry the ball.;https://media.yourschoolgames.com/images/Lacrosse_rJCOP2w.width-450.png
24;MATP®;Special Olympics MATP® is designed to prepare athletes with severe or profound in disability for sport-specific activities that are appropriate for their disability;https://media.yourschoolgames.com/images/matp-cmyk_fv.width-450.png
